audio_path,Distilled_Whisper_Large_V3,Whisper_Medusa,Parakeet_ctc_1b,Parakeet_ctc_0.6b,parakeet_rnnt,Ground Truth
2024_07_09 09_45_10 1aejJQ.wav,"I would appreciate our delicious soup and salad combo, specifically the broccoli cheddar soup paired with a fresh garden salad. Thank you."," I would appreciate a delicious soup and salad combo, specifically the broccoli cheddar soup paired with a fresh garden salad. Thank you."," I would appreciate a delicious soup and selected combo, specifically the broccoli cheddar soup, paid with a fish, garlic salad. Thank you."," I would appreciate our delicious soup and salad gumos, specifically the broccoli cheddar soup. Specifically the broccoli cheddar soup. Thank you.", I would appreciate a delicious soup and salad combo specifically the broccoli cheddar soup with a fresh garden salad. Thank you.,"I would appreciate a delicious Soup and Salad Combo, specifically the Broccoli Cheddar Soup paired with a fresh garden salad. Thank you!"
2024_07_09 09_46_36 YpGK3Q.wav,Can I have a hot dog on a sub-seasor bun?,Can I have a hot dog on I? Sub-ceaser bun.,Can I have a hot dog? Un-Talusatis Gwinua Gwinua.,Can I have a hot dog on our sub-ceaser bun?,Can I have a hot dog on our side? Can I have a hot dog on our sub-ceaser bun?,Can I have a hot dog on a Sub Caesar bun?
2024_07_09 10_00_12 UeV5gw.wav,"I will have the boneless wings without any sauce or dry wrap, please.","I will have the boneless wings without any sauce or dry wrap, please."," I will have the boneless wings without any sauce or a dry bread. Please, please.",I will have the boneless wings without any sauce or dry bread please.,I will have the boneless wings without any sauce or a driver please.,"I will have the boneless wings without any sauce or a dry rub, please."
2024_07_09 10_02_57 6k0MuQ.wav,I would like some turkey sandwich without any tomatoes please thank you,"I would like some turkey sandwich without any tomatoes, please. Thank you."," I would like some turkey sandwich without any tomatoes, thank you.","I would like some turkey sandwich without any tomatoes, please. Thank you."," I would like some turkey sandwich without any tomatoes, please. Thank you.","I would like some turkey sandwich without any tomatoes, please. Thank you!"
2024_07_09 10_03_35 fysiOg.wav,"Could you please serve me a cheeseburger, one top with tangy blue cheese and another featuring classic American cheese. Thank you.","Could you please serve me a cheeseburger, one top with tangy blue cheese and another featuring classic American cheese? Thank you.","Could you please serve me a cheeseburger, one top with tangy blue cheese and another featuring classic American cheese? Thank you.","Could you please serve me a cheeseburger, one topped with tangy blue cheese and another Fitchin classic American cheese. Thank you.","Could you please serve me a cheeseburger, one top with tangy blue cheese and another feature classic American cheese. Thank you.","Could you please serve me a cheeseburger, one topped with tangy blue cheese and another featuring classic American cheese? Thank you."
2024_07_09 10_04_12 wrwyjA.wav,Would you please serve me a to strata with red sauce and beef as well as another one with red sauce and goat? Thank you., Would you please serve me a toasterta with red sauce and beef as well as another one with red sausage and goat? Thank you., Could you please serve me a tostada with red sauce and beef as well as another one with red sauce and goat? Thank you., Would you please serve me a to start out of red sauce and beef as well as another one with red sauce and goat? Thank you., Would you please serve me a toaster with red sauce and beef as well as another one with red sauce and caught? Thank you.,"Could you please serve me a tostada with red sauce and beef, as well as another one with red sauce and goat? Thank you!"
2024_07_09 10_21_42 1_UQ8A.wav,"I would like to try the Chrisadina's visa, but please, will you serve it without any sound from? Thank you."," I would like to try the Khrastainas Siza, but please could you serve it without any song? Thank you."," I would like to try the cassidia suiza, but please, please, please, please, please, sir it without any sounds like you."," I would like to try the classagna with a specialized reason, but please please please please please please serve it without any salsa. Thank you."," I would like to try the crustacelloosa but please please please please. Please, please.","I would like to try the Quesadilla Suiza, but please could you serve it without any salsa? Thank you."
2024_07_09 10_22_10 MI0RTw.wav,Can I order a mini breakfast with white toast on the side?,Can I order a mini breakfast with white toast on the side?,Can I order a mini breakfast with white toast on the side?,Can I order a mini breakfast with white roast on the side?,Can I order a mini breakfast with Vitelloos on the side?,Can I order a mini breakfast with white toast on the side?
2024_07_09 10_22_40 pyVIwA.wav,Can you bring me a plate of chips shared with our housemaid guacamole and salsa please?, Did you bring me a plate of chips served with our house made guacamole and salsa please?," Could you bring me a plate of chips served with our house made Gwini and salsa, please?","Can you bring me a plate of chips served with our house made guacamole and salsa, please?",Could you bring me a plate of chips served with our house made guacamole and salsa please?,"Can you bring me a plate of chips served with our house-made guacamole and salsa, please?"
2024_07_09 10_24_32 TfHqVA.wav,"I'm sorry for any confusion but it seems that there might be a mix-up in the items and modifiers you provided. Pastrami is typically a type of cured meat often served with rye bread or as part of sandwiches while chocolate chips are usually associated with desserts like cookies or brownies. Could I assist you by suggesting a pastrami sandwich instead? If so, would you prefer toasted or un-toasted and what type of bread do you fancy rye, whole wheat or something else?","I'm sorry for any confusion, but it seems that there might be a mix-up in the items and modifiers you provided. Pastrami is typically a type of cured meat, often served with rye of bread, or as part of sandwiches, while chocolate chips are usually associated with desserts like cookies or brownies. Could I assist you by suggesting a pastrami sandwich instead? If so, would you prefer toasted or un-toasted and what type of bread do you fancy rye, whole wheat, or something else?"," I'm sorry for any confusion, but it seems that there might be a mix-up in the items and modifiers you provided. Pastrami is typically a type of cured meat or rye bread or as part of sandwich, while chocolate chips are usually associated with dessert like cookies or brownies. Could I assist you by suggesting a pastrami sandwich instead? If so would you prefer a toasted or un-tosted and what type of bread do you fancy rye or whole of wheat or something else?","I'm sorry for any confusion, but it seems that there might be a mix-up in the items and modifiers you provided. Pastrami is typically a type of cured meat often served with a rye bread or as part of a sandwich. While chocolate chips are usually associated with desserts like cookies or brownies. Could I assist you by suggesting a fast-frami sandwich instead? If so, would you prefer it toasted or un-toasted? And what type of bread do you fancy rye, whole wheat, or something else?"," I'm sorry for any confusion, but it seems that there might be a mix up in the items and modifiers you provided. Pastrami is typically a type of cured meat, often served with rye bread, or as part of sandwiches, while chocolate chips are usually associated with desserts like cookies or brownies. Could I assist you by suggesting a pastrami sandwich instead? Would you prefer toasted or un-tosted and what type of bread do you fancy rye, whole meat, or or something else?","I'm sorry for any confusion, but it seems there might be a mix-up in the items and modifiers you provided. Pastrami is typically a type of cured meat often served on rye bread or as part of sandwiches, while chocolate chips are usually associated with desserts like cookies or brownies. Could I assist you by suggesting a pastrami sandwich instead? If so, would you prefer it toasted or untoasted and what type of bread do you fancy – rye, whole wheat, or something else?"
2024_07_09 10_25_49 l-F5qQ.wav,Could you serve me a swine meal with half a serving of red potato mash and also the surfinter accompanied with another half serving of red potato mash? Thank you.,Could you serve me a swye meal with half a serving of red potato mash and also the surf and turf accompanied with another half serving of red potato mash? Thank you.,Could you serve me a sway meal with half a serving of red potato mash and also the surf and turf accompanied with another half serving of red potato mash. Thank you.,Could you serve me a swye meal with half a serving of red potato mash and also the serving of red potato mash and also the serving of red potato mash and also the serving of red potato mash. Thank you.,Could you sell me a swye meal with half a serving of red potato mash and also a surf and turf accompanied by another half serving of red potato mash? Thank you.,"Could you please serve me a Swai Meal with half a serving of Red Potato Mash, and also the Surf 'n Turf accompanied by another half serving of Red Potato Mash? Thank you."
2024_07_09 10_31_47 X_0Dbg.wav,"I want to order a plate of spicy chicken wings, one with barbecue sauce and another with a tangy pineapple glaze."," I want to order a plate of spicy chicken wings, one with barbecue sauce and another with a tangy pineapple glaze."," I want to order a plate of spicy chicken wings, one with barbecue sauce and another with a tangy pineapple glaze.","I want to order a plate of spicy chicken wings, one with barbecue sauce and another with a tangy pineapple glaze."," I want to order a plate of spicy chicken wings, one with barbecue sauce and another with tangy pineapple glaze.","I want to order a plate of spicy chicken wings, one with BBQ sauce and another with a tangy pineapple glaze."
2024_07_09 18_51_06 Nv49Zw.wav,"Please give me a serving of a nori sushi and some wakami salad, both without any additional modifiers. Thank you.","Please give me a serving of Inori sushi and some wakami salad, both without any additional modifiers. Thank you."," Please give me a serving of a Nori sushi and some wakami salad, both without any additional modifiers. Thank you.","Please give me a serving of a nary sushi and some wakami salad, both without any additional modifiers. Thank you.","Please give me a serving of a nori sushi and some wakami salad, both without any additional modifiers. Thank you.","Please give me a serving of inari sushi and some wakame salad, both without any additional modifiers. Thank you!"
2024_07_09 18_51_55 NWrxvg.wav,Can I have a California sandwich on sliced multi-grained bread and also a small house salad to accompany it?,Can I have a California sandwich on sliced multi-green bread and also a small house salad to accompany it?,Can I have a California sandwich on sliced multi-grained bread and also a small house salad to accompany it?,Can I have a California sandwich on sliced multi-grained bread and also a small house salad to accompany it?,Can I have a California sandwich on sliced multi-grained bread and also small house salad to accompany it?,"Could I have a California sandwich on sliced multigrain bread, and also a small house salad to accompany it?"
2024_07_09 18_52_34 CxGKDw.wav,Can you bring me a medium combo special with garlic ranch sauce and also add on a cheeseburger topped with pepper jack cheese?,Can you bring me a medium combo special with garlic ranch sauce and also add on a cheeseburger top with pepper jack cheese?,Can you bring me a medium combo special with garlic ranchos and also add on a cheeseburger top with pepper yak cheese?,Can you bring me a medium combo special with garlic ranch sauce and also add on a cheeseburger topped with pepper yak cheese?,Can you bring me a medium combo special with garlic ranch and also add on a cheeseburger top with pepper yak cheese?,"Can you bring me a medium Combo Special with garlic-ranch sauce, and also add on a cheeseburger topped with pepperjack cheese?"
2024_07_09 18_52_59 vjylUg.wav,"May I get a plate of tacos topped with fresh, sesty pica de gallo?","May I get a plate of tacos topped with fresh, sesty pica de gallo?","May I get a plate of tacos topped with a fresh, sesty pica de gallo?","May I get a plate of tacos topped with fresh, sesty pecan de gallo?","May I get a plate of tacos topped with fresh, sesty pica de gallo?","May I get a plate of tacos topped with fresh, zesty pico de gallo?"
2024_07_09 18_53_55 79ej3Q.wav,I need a BLT sandwich paired with a freshly brewed cup of coffee and on the side could I also get some garlic seasoned sliced turkey? Thank you.,"I need a BLT sandwich paired with a freshly brewed cup of coffee. And on the side, could I also get some garlic season sliced turkey? Thank you.", I need a BLT sandwich paired with a freshly brewed cup of coffee and on the side could I also get some garlic sliced turkey? Thank you.,I need a BLT sandwich paired with a freshly brew cup of coffee and on the side could I also get some garlic seasoned sliced turkey? Thank you.,I need a BLT sandwich paired with a freshly brewed cup of coffee and on the side could I also get some garlic seasoned sliced 30? Thank you.,"I need a B.L.T. sandwich paired with a freshly brewed cup of coffee, and on the side, could I also get some garlic-seasoned sliced turkey? Thank you!"
2024_07_09 18_55_06 s_PLgQ.wav,"I will take two November specials, one on a bed of crisp white sliced bread, and the other on hardy wheat sliced bread.","I will take two November specials, one on a bed of crisp white sliced bread, and the other on hardy wheat sliced bread."," I will take two November specials, one on a bed of crisp white sliced bread and the other on hardy white wheat sliced bread.","I will take two November specials, one on a bed of crisp white sliced bread, and the other one on hardy white wheat sliced bread.","I will take two November specials, one on a bed of crisp white sliced bread, and the other on hardy white sliced bread.","I will take two November Specials, one on a bed of crisp white sliced bread and the other on hearty wheat sliced bread."
2024_07_09 18_58_47 FJMSqQ.wav,May I order a refreshing sprite and a tangy squirt to accompany my meal?,May I order a refreshing spright and a tangy squirt to accompany my meal?,May I order a refreshing sprite and a tangy squirt to accompany my meal?,May I order a refreshing sprite and a tangy squirt to accompany my meal?,May I order a refreshing sprite and a tangy squirt and a tangy squirt to accompany my meal?,May I order a refreshing Sprite and a tangy Squirt to accompany my meal?
2024_07_09 19_00_43 AvdPqA.wav,I need a starry burger with a 20 ounce patty please.,I need a starry burger with a 20 ounce patty please., I need a starry burger with a 20 ounce patty please.,I need a starry burger with a 20 ounce patty please.,I need a starry burger with a 20 ounce patty please.,"I need a Starry Burger with a 20-ounce patty, please."
2024_07_10 09_56_26 nGd0tQ.wav,"I would appreciate a plate of spicy hotate, reggie. Please. And could you add some freshly grated wasabi on top? Thank you.","I would appreciate a plate of spicy hotet with Giri, please. And could you add some freshly grated wasabi on top? Thank you.", I would appreciate a plate of spicy content moly it. Thank you., I would appreciate the plate of spicy or potato meaty tea mackey please and could you add some freshly grated wasabi on top? Thank you.,"I would appreciate a plate of spicy or potato vegetarian, please. Could you add some freshly grated asavi on top? Thank you.","I would appreciate a plate of spicy hotate nigiri, please, and could you add some freshly grated wasabi on top? Thank you."
2024_07_10 12_19_17 FSCp3w.wav,"Can you bring me plan Tiretri please? Anwar the November special, Karehda, I have it with Willie Trowl. Thank you.",Can you bring me plant tritry please? And about the Noampa special curd I have it with Woli Trot. Thank you.,"Can you bring me a plant turkey please? Alba Lomba Gatchezza, please.",Can you bring me a plant charter please? And I'm welcome the special cardi have it with weight rolls. Thank you.,Can you bring me a plant tripletes? And I'm about on one special cardi with Rilitochiawa. You have it with Ritochiazori.,"Can you bring me a plain tri-tip, please? And for the November Special, could I have it with wheat rolls? Thank you!"
2024_07_11 00_09_58 MoS-iA.wav,Can you bring me a mixed grill seasoned with Thai spices and accompanied by Brussels sprouts on the side?,Can you bring me a mixed grill seasoned with Thai spices and accompanied by Brussels sprouts on the side?,Can you bring me a mixed and grilled seasoned with Thai spices and accompanied by bristle sprouts on the side?,Can you bring me a mixed grilled seasoned with Thai spices and accompanied by bristle sprouts on the side?,Can you bring me a mixed grilled seasoned with Thai spices and accompanied by bristle sprouts on the side?,Can you bring me a mixed grill seasoned with Thai spices and accompanied by Brussels sprouts on the side?
2024_07_11 00_17_17 EuE5pQ.wav,I would like to order some spicy chicken wings and could you please add a side of fresh spinach as well? Thank you.,I would like to order some spicy chicken wings and could you please add a side of fresh spinach as well? Thank you., I would like to order some spicy chicken wings and could you please add a side of fresh spinach as well? Thank you.,I would like to order some spicy chicken wings and could you please add a side of fresh spinach as well. Thank you.,I would like to order some spicy chicken wings and could you please add a side of fresh spinach as well. Thank you.,"I would like to order some spicy chicken wings, and could you please add a side of fresh spinach as well? Thank you."
2024_07_11 00_17_44 1eSjAw.wav,Could you please serve me a house salad with a balsami vinegar dressing on the side? Thank you.,Could you please serve me a house salad with a balsami vinegar dressing on the side? Thank you.,Could you please serve me a house salad with an alsame vinegar dressing on the side? Thank you., Could you please serve me a house salad with a palsamy vinegar dressing on the side? Thank you.,Could you please serve me a house salad with a palsamic dressing on the side? Thank you.,Could you please serve me a house salad with balsamic vinaigrette dressing on the side? Thank you.
2024_07_12 03_22_51 spIQcQ.wav,i would appreciate a classic breakfast with the modification of having my eggs prepared as whites only please, i would appreciate a classic breakfast with the modification of having my eggs prepared as whites only please," I would appreciate a classic breakfast with the modification of having my eggs prepared as whites only, please.", I would appreciate a classic breakfast with the modification of having my eggs prepared as whites only please.,I would appreciate a classic breakfast with a modification of having my eggs prepared as whites only please.,"""I would appreciate a classic breakfast with the modification of having my eggs prepared as whites only, please."""
2024_07_12 03_25_24 9AXS6A.wav,"I would like to order a classic breakfast, one with fresh fruit and another with just the white eggs.", i would like to order a classic breakfast one with fresh fruit and another with just the white eggs," I would like to order a classic breakfast, one with fresh fruit and another with just the white eggs.","I would like to order a classic breakfast, one with fresh fruit and another with just the white eggs.","I would like to order a classic breakfast, one with fresh fruit and another with just the white eggs.","""I want to order a classic breakfast, one with fresh fruit and another with just the white eggs."""
2024_07_12 03_31_50 wmdizw.wav,i would love to start off with a small bowl of clam chowder and for my main course i would like an order of boneless wings prepared naked, i would love to start off with a small bowl of clam chatter and for my main course i would like an order of boneless wings prepared naked, I would love to start off with a small bowl of clam chowder and for my main course I would like an order of boneless wings prepared naked., I would love to start off with a small bowl of clam counter and for my main course I would like an order of boneless wings prepared naked.,I would love to start off with a small bowl of clam counter and for my main course I would like an order of boneless wings prepared naked.,"""I would love to start off with a small bowl of clam chowder, and for my main course, I would like an order of boneless wings prepared naked."""
2024_07_12 03_37_08 tLbT2g.wav,I would like to order a turkey sandwich with cucumber and another one with potato salad on the side.,I would like to order a turkey sandwich with cucumber and another one with potato salad on the side., I would like to order a turkey sandwich with cucumber and another one with potato salad on the side.,I would like to order a turkey sandwich with cucumber and another one with potato salad on the side.,I would like to order a turkey sandwich with cucumber and another one with potato salad on the side.,I would like to order a turkey sandwich with cucumber and another one with potato salad on the side.
2024_07_15 16_16_57 zkfB0A.wav,"Can you bring me a hamburger with all the standard toppings, please?","Can you bring me a hamburger with all the standard toppings, please?", Can you bring me a hamburger with all the standard toppings please?,Can you bring me a hamburger with all the standard toppings please?,Can you bring me a hamburger with all the standard topping please?,"Can you bring me a hamburger with all the standard toppings, please?"
2024_07_15 18_13_42 34O1Iw.wav,"May I get a petty melt cooked to medium rare, please?","May I get a patti melt cooked to medium rare, please?",May I get a petty melt and cookie to medium rarity please.,May I get the pettie melt and cook it to medium rare please?,"May I get a petty melt and cook it to medium rare, please?","May I get a Patty Melt cooked to medium rare, please?"
2024_07_15 19_43_19 24Dxew.wav,"May I order a half portion of Tandori chicken prepared in a milder spice blend, please?","May I order a half portion of Tandori chicken prepared in a milder spice blend, please?","May I order a half a portion of Tandori chicken prepared in a milder space blend, please.","May I order a half a half a portion of Tandori chicken prepared in a milder spicer blend, please.","May I order a half portion of Tundori chicken prepared in a milder spicer blend, please?","May I order a half portion of the Tandoori Chicken prepared in a milder spice blend, please?"
2024_07_13 20_43_38 hOrdPw.wav,"May I get a small, Hawaii, pizza, please?","May I get a small Hawaiian pizza, please?",May I get a small Hawaiian pizza please?,May I get a small Hawaiian pizza please?,May I get a small Hawaiian pizza please?,"May I get a small Hawaiian Pizza, please?"
