,audio_path,ground_truth,transcription,inference_time,Semantic_Analysis
18,2024_07_09 09_24_15 Ud57cA.wav,Could you please serve me a turkey sandwich with cottage cheese on it?,could you please serve me a turkey sandwich i've cotton cheese on,0.0535013675689697,0.8982281717292814
19,2024_07_09 19_01_30 jpD6Vw.wav,"May I get a Patty Melt on a bagel and also, could you please prepare another one with a wheat bun? Thank you.",may i get a patty melt on a bagel and also could you please prepare another one with a wheat bun thank you,0.0606844425201416,1.0
20,2024_07_09 10_23_13 mPlfgQ.wav,"Could I please have a hot dog topped with Shirley Temple sauce, and on the side, could you also bring me some chocolate milk? Thank you!",could i please have a hot dog topped with shirley temple sauce and on the side could you also bring me some chocolate milk thank you,0.0649631023406982,1.0
21,2024_06_28 11_23_03 hEN1IQ.wav,"Could I get a Canadian Bacon, and Super Nachos with veggies?",could i get a canadian bacon and super nachos with veggies,0.0598247051239013,1.0
22,2024_07_11 00_06_13 QTEDDg.wav,May I please have a B.L.T. sandwich with the addition of white cheddar mac and cheese on the side? Thank you!,may i please have a blt sandwich with the addition of white cheddar mac and cheese on the side thank you,0.0593264102935791,1.0
23,2024_06_28 11_42_49 JayBxQ.wav,"I'll have a Sizzinling Beef With Black Pepper Sauce, Hunan Chicken (Spicy), and Pork Chop Sui.",i'll have a sizzling beef with black pepper sauce hounan chicken spicy and pork chop set,0.073249340057373,0.9278918855382098
24,2024_07_15 16_13_15 8BixZQ.wav,"""I will have a classic Patty Melt, and could you please add some crispy potato chips on the side?""",i will have a classic patelt and could you please add some crispy potato chips on the side,0.059805154800415,0.8457169371344186
25,2024_07_15 16_21_50 bUHFBA.wav,"I would love to start my meal with a delicious turkey sandwich, one without any sprouts and another on an egg bagel. Could you please prepare those for me?",i would love to start my meal with a delicious turkey sandwich one without any sprouts and another one on egg bakl could you please prepare those for me,0.07989501953125,0.9740697461729311
26,2024_07_09 09_26_31 uXLE2Q.wav,"Please give me the Beyond Chicken Sandwich Combo with BBQ sauce, and also add a Surf 'n Turf featuring Cod. Thank you!",please give me the beyond chicken sandwich combo with barbecue sauce and also add a serve and tur feature calledod thank you,0.0654578208923339,0.9102569206349147
27,2024_07_15 19_35_02 n6_VlA.wav,"I need a perfectly cooked Petrale Sole, and for my appetizer, I would like to try the Dragon Roll. Could you please make sure they are both prepared with care? Thank you!",i need a perfectly cooked petrol sle and for my appetizer i would like to try the dragon roll could you please make sure they are both prepared with care thank you,0.0755538940429687,0.8595135571111618
28,2024_06_28 11_12_40 DbcADQ.wav,"Add a Seekh Kebab, and Tandoori Chicken with Large 14"" to my cart.",add a safe color oven into which you can make fourteen inch ls to my cart,0.0675077438354492,0.6740379666827141
29,2024_07_09 10_03_35 fysiOg.wav,"Could you please serve me a cheeseburger, one topped with tangy blue cheese and another featuring classic American cheese? Thank you.",could you please serve me a cheeseburger one topped with tangy blue cheese and another featuring classic american cheese thank you,0.0617246627807617,1.0
30,2024_07_09 10_05_41 fxSRjg.wav,"""I would appreciate a large Reuben sandwich made with milk.""",i would appreciate a large reuben sandwich made with milk,0.0590355396270751,1.0
31,2024_07_15 16_25_45 67yegg.wav,"Do you have a Gorgonzola cheese selection on your menu, preferably served atop a freshly baked wheat bread base?",do you have a corganzola cheese selected on your menu preferably serve atop a fresh baked wheat bread paste,0.0772533416748046,0.9132062334730395
32,2024_07_30 02_01_44 Vzukvg.wav,"I would like to order a classic hamburger, but instead of the usual bun, I would love it served on a warm, flaky biscuit with some savory gravy on top. Thank you!",i would like to order a classic hamburger but instead of the usual oneun i would love it served on a warm flaky biscuit with some savory gravy on top thank you,0.0707345008850097,0.9805572094397941
33,2024_07_09 18_53_55 79ej3Q.wav,"I need a B.L.T. sandwich paired with a freshly brewed cup of coffee, and on the side, could I also get some garlic-seasoned sliced turkey? Thank you!",i need a bl te sandwich paired with a freshly brewed cup of coffee and on the side could i also get some garlic seasoned sliced turkey thank you,0.0693819522857666,0.9727161001972054
34,2024_07_11 00_43_00 EuduYQ.wav,"Could I get a hamburger with extra mayo on the side, and please make sure there's no tomato in it? Thank you!",could i get a hamburger with extra mayo on it and please make sure there's no tomato in it thank you,0.0569286346435546,0.9952453105250075
35,2024_07_23 15_00_39 JP3Oaw.wav,May I please have a classic ham and eggs breakfast served alongside an assorted fruit plate?,egg ple these have a classic ham and eggs breakfast served alongside an asserted touplate,0.0654363632202148,0.8639179029855719
36,2024_07_07 17_40_59 Pjtm0g.wav,"I will take a Super Quesadilla, please, but instead of the usual ingredients, could you make it with breaded beef as used in your Tortas? I think that combination sounds delicious!",i will take a super cassadilla please but instead of the usual ingredients could you make it with breaded beef as used in your tortas i think that combination sounds delicious,0.0683264732360839,0.9401605671399782
37,2024_06_28 11_47_22 YhiDbA.wav,"I'll have the Cheese Omelette with Toast, and Side Avocado please.",i'll have the cheese omelette with toast and side avocado please,0.0512826442718505,1.0
38,2024_07_30 02_06_01 jtMoUA.wav,"Can I order a surf and turf with a side of quinoa, about 4 oz in size, along with a hearty cheeseburger accompanied by some loaded garlic mashed potatoes?",can i order a serf and turf with a side of quinoa about four ounces in size along with a hearty cheeseburger accompanied by some loaded garlic mashed potatoes,0.0701172351837158,0.9108592240468031
39,2024_07_24 12_10_57 p-vibA.wav,"I want to order a chimichanga made with delicious corn tortillas, please.",i want to order a chimichanga made with delicious corn trty as please,0.0534934997558593,0.9740422000533726
40,2024_07_12 03_43_18 bpivlw.wav,"I would like to try the Camarones Rancheros served on a crispy corn tortilla, and also could I get a Tostada with some savory refried beans?",i would like to try the camaroons rancheros served on a crispy corn tortilla and also could i get a tostada with some savourory refried beans,0.0741064548492431,0.9925451930101119
41,2024_07_12 03_39_36 wTgwsQ.wav,"""I would like to start off my meal with a bowl of the Chef's Soup of the Day, please.""",i would like to start off my meal with a bowl of chef's soup of the day please,0.0502557754516601,0.996527034972005
42,2024_07_09 10_06_28 RXv72w.wav,"I will have a cheeseburger with jalapeno sweet heat slaw and a hamburger served on bruschetta avocado toast, please.",i will have a cheeseburger with jalapeno sweet heatlaw and a hamburger served on a bruschettavocado toast plereeese,0.0652351379394531,0.9563281408397326
43,2024_07_12 03_23_16 Ze0w1g.wav,"May I order a cheeseburger topped with creamy avocado and melted cheddar, please?",may i order a cheeseburger topped with creamy avocado and melted cheddar please,0.0700292587280273,1.0
44,2024_07_11 00_32_58 5uRkzQ.wav,"""I will have a hot dog served with an ice-cold refreshing iced tea, and for my second dish, I would like some cheese curds without any sauce.""",i will have a hot dog served with an ice cold refreshing iced tea and for my second dish i would like some cheese curds without any sauce,0.0716142654418945,0.9956726494314393
45,2024_07_09 10_23_39 6553CA.wav,"I need a hamburger with yellow mustard and a hot dog that's not split open, please.",i need a hamburger with yellow mustard and a hot dog let's not split open please,0.0552339553833007,0.9845350226425045
46,2024_07_15 16_22_59 kHYpVA.wav,"Could I get a delicious lasagna topped with rich, flavorful marinara sauce?",can i get a delicious lasagna topped with rich flavorful mariana sauce,0.0596752166748046,0.9107088185295135
47,2024_07_30 02_04_03 lGDXAg.wav,"I would love to order a Denver Omelet served with one delicious pancake on the side, please.",i would love to order a denver omelette served with one delicious pancake on the side please,0.0566003322601318,0.9968998390759836
48,2024_07_15 19_43_19 24Dxew.wav,"May I order a half portion of the Tandoori Chicken prepared in a milder spice blend, please?",may i order a half portion of tandori chicken prepared in a milder spice blend please,0.0597448348999023,0.9648111109743691
49,2024_07_14 05_49_01 _yveww.wav,"May I get the Plant-Based Nuggets Meal, please? Could you add some red bell peppers to it for an extra crunch and flavor? Thank you.",may i get the plant based nugget meal please could you add some red bell peppers to it for an extra crunch and flavor thank you,0.0784957408905029,0.9876912950871215
50,2024_07_18 11_38_05 tVRNIA.wav,May I please have a classic cheeseburger accompanied by a side of crispy French fries? Thank you!,may i have a classic cheeseburger accompanied by the side of crispy french fries thank you,0.0716776847839355,0.9959171625143408
51,2024_07_07 17_47_29 3KoD3A.wav,Could you please serve me a Torta Mexicana with Barbacoa filling? Thank you!,could you please serve me a torta mexicana with barbacoa filling thank you,0.0627965927124023,1.0
52,2024_07_18 07_56_37 l-EmFA.wav,"""May I please have a full serving of the antipasto salad and a half portion of Peking Duck?""",may i please have a full serving of the antipesto salad and a half portion of peackking duck,0.0614244937896728,0.9194912938378135
53,2024_07_14 06_40_34 OkbEhA.wav,"May I get a pepperoni pizza with BBQ sauce on the side, please? Just a touch of light dressing would be perfect.",may i get a pepperoni pizza with barbecue sauce on the side please just a touch of light dressing would be perfect,0.0694522857666015,0.9827866920344533
54,2024_07_24 13_19_45 VBoUBg.wav,"Could I get the Huevos Rancheros basted, please? Thank you!",could i get the jueo rancheros bised please thank you,0.0532712936401367,0.8720186819885598
55,2024_07_14 21_03_31 zXT4yQ.wav,"Can I have a cheeseburger, please? Just the sandwich as my entree without any sides or extras. Thank you!",can i have a cheeseburger please just the sandwich as my entry without any sides or extra thank you,0.0600368976593017,0.9747798677701194
56,2024_07_30 02_14_06 3oNUpA.wav,Please give me a delicious turkey sandwich accompanied by some savory garlic fries on the side. Thank you!,please give me a delicious turkey sandwich accompanied by some savourory garlic fries on the side thank you,0.0574326515197753,0.9981657501431669
57,2024_07_08 06_23_16 VtV9aA.wav,"I would like to try the Country Sausage and Eggs on a Wheat Toast, please. Thank you!",i would like to try the country' sausage and eggs on a white toast please thank you,0.0619502067565918,0.9686195838555973
58,2024_07_10 09_54_43 qJIE1Q.wav,"I would love to order a delicious pastrami sandwich on whole wheat bread, please.",i would love to order delicious fastrami sandwich on whole wheat bread plereese,0.0625720024108886,0.9307650561165692
59,2024_07_15 19_34_16 -6F8ZA.wav,"May I get a plate of delicious Saag Gosht served with warm, freshly baked Nan bread on the side? And for my drink, could you please bring me a Space Dust IPA to complement the flavors? Thank you.",may i get a plate of delicious sag gose served with warm freshly baked naan bread on the side and for my drink could you please bring me a spast dust ia to complimment the flavors thank you,0.0790178775787353,0.9209861236920823
60,2024_06_28 11_15_20 MGwfpQ.wav,"Can I get the Butter Chicken with Large 14"", and Gulab Jamun, please?",can i get buttered chicken with large fort it and willillo jalmon please,0.0568645000457763,0.8504790117795622
61,2024_07_30 02_16_22 6dQkeg.wav,"I want to order the Surf 'n Turf, but instead of the usual sides, I would like it served with a generous portion of quinoa - let's make that an 8-ounce double serving if possible.",i want to order the surf and turf but instead of the usual sides i would like it served with a generous portion of quinoa let's make that an eight ounce double serving if possible,0.0690579414367675,0.9808547696539002
62,2024_07_09 10_30_46 36P_rQ.wav,"I would like to order a delicious piece of grilled salmon, and for my side dish, I would love some creamy white clam chowder in a cup. Thank you!",i would like to order a delicious piece of grill salmon and for my side i would love some creamy white clam chowder in a cup thank you,0.063441514968872,0.9767210403635959
63,2024_07_16 16_37_06 WJB4Lg.wav,"I would like to order a cheeseburger accompanied by a side of mozzarella sticks, please.",i would like to order a cheeseburger accompanied by a side of mzro elastics please,0.0596797466278076,0.8952472888967469
64,2024_07_24 13_10_54 rd9xGQ.wav,"I would like to try a medium-sized Chicken Caesar Salad with the classic Caesar dressing, please.",i would like to try a medium sized chicken cesar salad with the classic cesar dressing please,0.0534858703613281,0.9330950308400439
65,2024_07_30 01_58_10 GLjSQg.wav,"May I get a California Benedict with an addition of cottage cheese, and please make sure there are no hash browns included.",may i get a california benedict with an addition of cottage cheese and please make sure there are no hash browns included,0.056020975112915,0.999999985437757
66,2024_07_09 10_59_28 0O3Eag.wav,"Can I order a delicious Patty Melt accompanied by some crispy Sweet Potato Fries on the side, please?",can i order a delicious patty melt accompanied by some crispy sweet potato flies on the side please,0.0660364627838134,0.9424102307031196
67,2024_07_11 01_01_40 wIZ-IA.wav,"""I would appreciate a hot dog without any mustard on it.""",i would appreciate a hot dog without any mustard on it,0.0604474544525146,1.0
68,2024_07_11 00_43_34 lXXfCA.wav,"""I would love to order a plate of Spaghetti Con Polpette, and could you please add the Side Bolognese Sauce on the side?""",i would love to order a plate of spaghetti con papplet and could you please add the th sidei bolognese sauce on the side,0.064587116241455,0.9661327125887639
69,2024_07_11 00_47_43 Bsl6zg.wav,"I want to order a sandwich with a juicy white-slice turkey, layered with fresh lettuce and tomatoes on whole grain bread.",i want to order a sandwich with a juicy white sliced turkey layered with fresh lettuce and tomatoes on whole rain bread,0.0586187839508056,0.945618675962201
70,2024_07_11 00_34_29 HfXzmA.wav,"May I get a chimichanga topped with chile colorado, please?",may i get a shimichanga topped with chili colorado please,0.0594739913940429,0.9024091432971311
71,2024_06_28 11_22_28 JjhJVA.wav,"Make it a Fish Quesadilla with Mild Sauce, Enchiladas De Mole with Soup cup, and Horchata with Small for me.",make it a fish quesadilla and mild sauce and enchiladas deole with ku cup and horchata with small fromy,0.071751594543457,0.9543237038074535
72,2024_07_09 09_21_17 5L0OQQ.wav,"I would like to start my meal with a classic ham and eggs dish, but I would love it served alongside an indulgent side of oatmeal brulee. Could you please prepare that for me?",i would like to start my meal with a classic ham and eggs dish but i would love it served alongside an indulgent side of oatmeal brulee could you please prepare that for me,0.0752203464508056,0.9999999827359778
73,2024_07_09 18_56_52 0xXW1A.wav,"May I order a Patty Melt with a Sub Turkey Patty and on the side, could I also have a Cup of Chili? Thank you.",may i order a patty melt with a sub turkey patty and on the side could i also have a cup of chili thank you,0.06156587600708,1.0
74,2024_07_30 02_13_50 1Ig7qw.wav,"Can you bring me a veggie scramble with no side, and also another one on rye toast? Thank you!",can you bring me a veggie scramble with no side and also another one on ry toast thank you,0.0589914321899414,0.9797883195144389
75,2024_07_12 03_22_23 HJx7Pw.wav,"May I order a pastrami sandwich on rye bread, topped with Swiss cheese and served with a side of raisin nut roll?",may i order a pastrami sandwich on rye bread topped with swiss cheese and served with a side of raisin nut roll,0.066321849822998,0.9999999862969895
76,2024_07_30 02_21_58 ejpBMg.wav,"I want to order a Buffalo Chicken Sandwich with Marinara Dip, and also please prepare it as a full meal.",i want to order a buffalo chicken sandwich with a marinara dip and also please prepare it as a full meal,0.0522005558013916,0.9994709423903527
77,2024_07_11 00_25_52 4av_6Q.wav,"I will take a turkey sandwich on rye bread, please.",i will take a turkey sandwich on rye bread please,0.0539009571075439,1.0
78,2024_07_11 00_12_38 jd9y7A.wav,"May I get a delicious salami sandwich served on a fresh, crispy onion roll?",may i get a delicious salami sandwich served on a fresh crispy onion roll,0.0554440021514892,0.9999999914929465
79,2024_07_14 06_40_06 7_6Uww.wav,"I would like to order a bottle of Caposaldo Chianti, please. No additional modifiers needed for the wine tonight.",i would like to order a bottle of capoaldo schwate please no additional modifi needed for the wine tonight,0.0672307014465332,0.9297366068615375
80,2024_07_12 03_44_56 Om_Ggw.wav,"I want to order a classic ham and eggs dish served on warm, crusty sourdough toast. Additionally, I would love another serving of the same with a side of fluffy buttermilk biscuits smothered in savory sausage gravy.",i want to order a classic ham and eggs dish served on warm crusty sourdough toast additionally i would love to have another serving of the same with a side of fluffy buttermilk biscuits smothered in savory sausage gravy,0.0831568241119384,0.9988644919272774
81,2024_07_09 12_55_47 KSl-EQ.wav,"I will take the New York Steak and a bowl of Minestrone Soup, please.",i need a ten ounce soa meal and i need uh an eleven ounce soai meal please could you also recommend any side dishes that would pair well with these thanks,0.0777881145477294,0.6512316289605052
82,2024_07_11 00_27_20 2qrULw.wav,"I would like to try the grilled salmon served over a fresh salad, and I would prefer it if you could add some creamy ranch dressing on top. Thank you!",if i would like to try the grilled salmon served over a fresh salad i would prefer if you could,0.0489659309387207,0.9137813972502685
83,2024_07_12 03_28_44 k60ezQ.wav,Could I get a hamburger with side yellow mustard and another one served with cherry berry crepes?,could i get a hamburger with side yellow mustard and another one served with cherry berry crepes,0.0648849010467529,0.9999999985024766
84,2024_07_12 03_24_47 2sNDeg.wav,"May I order a super quesadilla without any salsa, please?",may i order a super quesadilla without any salsa please,0.0585017204284668,0.9999999825930026
85,2024_07_30 02_03_19 hVeuOQ.wav,"""May I get a Patty Melt with a side of onions, please?""",may i get a patty melt with a side of onions please,0.0508129596710205,0.9999999864858337
86,2024_07_11 01_02_13 TH4n1Q.wav,"I would like to order a BLT sandwich, but instead of the usual bacon, could you please substitute it with some fresh and healthy vegetables? Also, for my second item, I would love a turkey sandwich on sourdough bread. Thank you!",i would like to order a blt sandwich but instead of the usual bacon could you please substitute it with some fresh and healthy vegetables also for my second item i would love a turkey sandwich on sourdough bread thank you,0.0786168575286865,1.0
87,2024_07_23 14_57_07 8ykxIQ.wav,May I get the California Fries without any additional modifiers? Thank you!,may i get the california fries without any additional modifiers thank you,0.0518035888671875,1.0
88,2024_07_24 06_25_09 2P06gQ.wav,"Can I have a plate of yellowtail sashimi, please? Seven pieces would be perfect. Thank you!",can i have a plate of yellow taail sashimi please seven pieces would be perfect thank you,0.0559792518615722,0.9687496503559091
89,2024_07_24 06_22_32 JNb7bA.wav,Can you bring me a Turkey Everything Bagel sandwich?,can you bring me a turkey everything bagel sandwich,0.0438642501831054,0.9999999794473462
90,2024_07_12 03_24_03 6r-oxw.wav,"Can I have a hamburger with two fried eggs on top, please?",can i have a hamburger with two fried eggs on top please,0.0573205947875976,0.9999999855076074
91,2024_07_12 03_39_50 QjE58w.wav,"Can I order a turkey sandwich with crispy fries on the side, please?",can i order a turkey sandwich with crispy fries on the side please,0.0557935237884521,0.9999999995176048
92,2024_07_07 17_47_50 GDtXtQ.wav,"I would love to start with the whole steamed seabass, served without any additional ingredients (nan), followed by a bowl of sweet and sour catfish soup. Thank you!",to start with the whole steamed sea bass served without any additional ingredients followed by a bowl of sweet and sour catfish soup thank you,0.0725727081298828,0.9209093874600015
93,2024_07_14 06_41_49 MDSDsA.wav,"Please give me the Lamb Rogan Josh and Saag Corn, both without any additional modifiers. Thank you!",please give me a lamb rogue yosh and sag corn both with additional modifier thank you,0.0613481998443603,0.8336439449637963
94,2024_07_08 05_03_41 nsn0bg.wav,"I will have the spicy chicken wings, one order with a generous sprinkle of green peppers and another doused in zesty picante sauce. Thank you!",i will have the spicy chicken wings one order with a generous sprinkle of green peppers and another dulg and zesty potato sauce thank you,0.0611340999603271,0.9686644528855304
95,2024_07_24 00_56_15 mgGXdQ.wav,"I would like some bruschetta topped with a delightful combination of creamy hummus, ripe tomatoes, and fresh avocado slices.",i would like some rchetta topped with delightful combination of creamy hummus ripe tomato and fresh avocado slices,0.0620498657226562,0.9285107580889815
96,2024_07_09 10_23_56 elzJFw.wav,"Do you have a New York Cheesecake served without any plasticware, and could I also get some sliced salami on wheat bread? Thank you.",do you have a new york cheesecake served without any plastic ware and could i also get some sliced slimi on wheat bread thank you,0.0611779689788818,0.9365806374035291
97,2024_07_15 18_13_42 34O1Iw.wav,"May I get a Patty Melt cooked to medium rare, please?",may i get a patty melted cookie to medium rare please,0.0517163276672363,0.9250645156440938
98,2024_07_09 10_25_49 l-F5qQ.wav,"Could you please serve me a Swai Meal with half a serving of Red Potato Mash, and also the Surf 'n Turf accompanied by another half serving of Red Potato Mash? Thank you.",could you serve me a soy meal with half a serving of red potato mash and also the serf and turf accompanied by another half serving of red potato mash thank you,0.0574512481689453,0.8502913938799386
99,2024_07_11 00_08_44 YAAfPA.wav,"Can I have a Chicken Caesar Salad, but please make sure there are no anchovies in it? Also, could you confirm that the dressing doesn't contain any ice cream? Thank you.",can i have a chicken cesar salad but please make sure there are no anchovies in it also can you rec conffirm the dressing doesn't contain any ice cream thank you,0.0694904327392578,0.9409526847128855
100,2024_07_30 01_59_33 D6PiCg.wav,"May I please have a plate of boneless wings, half coated in ranch and the other half served plain? Thank you.",may i please have a plate of boneless wings half coated in ranch and the other half served plain thank you,0.0608413219451904,0.9999999861341206
101,2024_07_11 00_54_35 P-82DQ.wav,"""I would love to order a Chef's Salad, but could you please serve it in a full pan? That way I can enjoy every bit of the fresh ingredients.""",i would love to order a chef's salad but could you please serve it in a full pan that way i can enjoy every bit of the fresh ingredients,0.0673720836639404,0.9999999873898032
102,2024_07_09 10_01_51 IMoOgw.wav,"I would love to order a Hawaiian Pizza on a Honey Corn Bagel, please!",i would love to order a hawaiian pizza on a honey corn bagel please,0.0668525695800781,1.0
103,2024_07_18 07_55_01 GXr_7w.wav,"I would like to try a hamburger served on a brioche French toast base, please.",i would like to try a hamburger served on a brioche french toast base please,0.0590696334838867,1.0
104,2024_07_09 10_22_09 Li6kDg.wav,"Can I order a six-pack of BJ's Brewhouse Blonde, and also add a six-pack of BJ's Committed Double IPA to my selection? Thank you.",can i order a six pack of beeiges blueh house blond and also add a six pack of beeges committed double ipa to my selection thank you,0.0586957931518554,0.9348911553450437
105,2024_07_30 02_15_45 wCR27w.wav,"Can I order a pastrami sandwich on a French roll and another one on wheat bread, please?",can i order a pastrami sandwich on a french roll and another one on wheat bread please,0.052647590637207,1.0
106,2024_07_30 02_22_37 SW3A6w.wav,"""I will have a Reuben sandwich and a refreshing glass of lemonade, please.""",i will have a reuben sandwich and a refreshing glass of lemonade please,0.0491368770599365,1.0
107,2024_07_11 00_12_21 lF0VQg.wav,"May I order a California Benedict served with French fries, and also a BLT sandwich with a side of small milk?",may i order a california benedict served with french fries and also a blt with a side of small milk,0.0596046447753906,0.9833479958534417
108,2024_07_09 10_25_35 lrJnqg.wav,"Can you bring me a classic American-style cheeseburger, please?",could you bring me a classic american style cheeseburger please,0.0473392009735107,0.9931083004075529
109,2024_07_30 02_20_26 9hxCsg.wav,"Can I have the Surf 'n Turf served with a side of Cinnamon Sweet Potato Mash, please? Four ounces would be perfect.",can i have the surf and turf served with a side of cinnamon sweet potato mashed please four ounces would be perfect,0.0524563789367675,0.9779431233244325
110,2024_07_15 16_21_09 IbmVzQ.wav,"I would like a hamburger without cheese and an extra-large fries on the side, please.",i would like a hamburger without cheese and an extra large fries on the side please,0.0548276901245117,0.9866706049247115
111,2024_07_14 06_43_18 cxWCBg.wav,"I would love to order a delicious hamburger, and I would like it served with a side of crisp salad tossed in thousand island dressing. Thank you!",i would love to order a delicious hamburger and i would like to serve it with a side of crisp salad tossed in a thousandroz ice land dressing thank you,0.0757360458374023,0.963161976578821
112,2024_07_09 18_51_55 NWrxvg.wav,"Could I have a California sandwich on sliced multigrain bread, and also a small house salad to accompany it?",can i have a california sandwich on sliced multigrain bread and also a smallouse salad to accompany it,0.0587399005889892,0.9566329139391373
113,2024_07_01 07_41_15 nqEkaA.wav,"I would like to get a Chicken Teriyaki with Blue Cheese, and Salmon Teriyaki.",i wouldd like to get a chicken teriyaki with blue cheese and salmon teriyaki,0.0634448528289794,0.9938797662862168
114,2024_06_28 12_20_04 Bb0vMg.wav,"It will be the Cheese (King Kong), Dominga Mimosa Sour, and Barebottle Can for me.",king kong konginger minus the towers and perfect you can for me,0.0573208332061767,0.6686585675348802
115,2024_07_24 06_24_43 vXZFwA.wav,"I need a California sandwich on sliced rye bread and a side of pozole soup, please.",i need a california sandwich on sliced rye bread and a side of pozle soup please,0.0522627830505371,0.9833722972067062
116,2024_07_08 06_26_34 rZTm6w.wav,"""I would love to start off my meal with a side of garlic butter edamame and a delightful bowl of fruit alongside the mini breakfast.""",i would love to start off my meal with a sl of garlic p edamame and a delightful bowl of fruit alongside the minat breakfast,0.0665111541748046,0.9673437689954453
117,2024_07_09 09_40_46 Gt-v1w.wav,Could you please serve me a chimichanga with ranch dressing on one side and another chimichanga topped with steak? Thank you.,could you please serve me a jimmichanga with r dressing on one side and another jimmichanga to with steak thank you,0.0575590133666992,0.8953797663471933
