,audio_path,transcript,sentence,items_json
10,2024_07_30 02_03_19 hVeuOQ.wav,"May I get a patty melt with a side of onions, please?","""May I get a Patty Melt with a side of onions, please?""","{""items"": [{""name"": ""Patty Melt"", ""modifier"": """"}, {""name"": ""onions"", ""modifier"": ""side""}], ""review"": ""\""May I get a Patty Melt with a side of onions, please?\""""}"
11,2024_07_30 02_03_37 sWT_1Q.wav,Could I get a house salad with oil and vinegar dressing please?,"Could I have a house salad with oil and vinegar dressing, please?","{""items"": [{""name"": ""house salad"", ""modifier"": ""oil and vinegar dressing""}], ""review"": ""Could I have a house salad with oil and vinegar dressing, please?""}"
12,2024_07_30 02_03_50 itWUcQ.wav,Can I have a veggie scramble served with whole wheat toast please?,"Can I have a veggie scramble served with whole wheat toast, please?","{""items"": [{""name"": ""veggie scramble"", ""modifier"": """"}, {""name"": ""whole wheat toast"", ""modifier"": """"}], ""review"": ""Can I have a veggie scramble served with whole wheat toast, please?""}"
13,2024_07_30 02_04_03 lGDXAg.wav,"I would love to order a Denver Omelette served with one delicious pancake on the side, please.","I would love to order a Denver Omelet served with one delicious pancake on the side, please.","{""items"": [{""name"": ""Denver Omelet"", ""modifier"": """"}, {""name"": ""pancake"", ""modifier"": ""one delicious""}], ""review"": ""I would love to order a Denver Omelet served with one delicious pancake on the side, please.""}"
14,2024_07_30 02_04_17 Uuq_nQ.wav,I will have the super nachos topped with some delicious grilled fish for a unique twist on a classic dish.,"I will have the Super Nachos topped with some delicious, grilled fish for a unique twist on a classic dish.","{""items"": [{""name"": ""Super Nachos"", ""modifier"": ""topped with some delicious, grilled fish""}], ""review"": ""I will have the Super Nachos topped with some delicious, grilled fish for a unique twist on a classic dish.""}"
15,2024_07_30 02_04_38 VzHG7g.wav,"I will have the ham and eggs on rye toast, please, along with a side of hash browns. And for my second order, could I also get another serving of ham and eggs but prepared over medium. Thank you.","I will have the ham and eggs on rye toast, please, along with a side of hash browns. And for my second order, could I also get another serving of ham and eggs but prepared over medium? Thank you!","{""items"": [{""name"": ""ham and eggs"", ""modifier"": ""on rye toast""}, {""name"": ""hash browns"", ""modifier"": """"}, {""name"": ""ham and eggs"", ""modifier"": ""prepared over medium""}], ""review"": ""I will have the ham and eggs on rye toast, please, along with a side of hash browns. And for my second order, could I also get another serving of ham and eggs but prepared over medium? Thank you!""}"
16,2024_07_30 02_05_08 jYqITw.wav,I would like to start off with the GF Anti-Pasto Italiano de la Casa and for my main course I would love a serving of Frito Misto. Could you please make sure there are no nuts in either dish due to allergies. Thank you.,"I would like to start off with the GF Antipasto Italiano De La Casa, and for my main course, I would love a serving of Fritto Misto. Could you please make sure there are no nuts in either dish due to allergies? Thank you!","{""items"": [{""name"": ""GF Antipasto Italiano De La Casa"", ""modifier"": """"}, {""name"": ""Fritto Misto"", ""modifier"": ""no nuts""}], ""review"": ""I would like to start off with the GF Antipasto Italiano De La Casa, and for my main course, I would love a serving of Fritto Misto. Could you please make sure there are no nuts in either dish due to allergies? Thank you!""}"
17,2024_07_30 02_06_01 jtMoUA.wav,"Can I order a surf and turf with a side of quinoa, about 4 ounces in size, along with a hearty cheeseburger accompanied by some loaded garlic mashed potatoes.","Can I order a surf and turf with a side of quinoa, about 4 oz in size, along with a hearty cheeseburger accompanied by some loaded garlic mashed potatoes?","{""items"": [{""name"": ""surf and turf"", ""modifier"": ""with a side of quinoa""}, {""name"": ""quinoa"", ""modifier"": ""about 4 oz in size""}, {""name"": ""hearty cheeseburger"", ""modifier"": """"}, {""name"": ""loaded garlic mashed potatoes"", ""modifier"": """"}], ""review"": ""Can I order a surf and turf with a side of quinoa, about 4 oz in size, along with a hearty cheeseburger accompanied by some loaded garlic mashed potatoes?""}"
18,2024_07_30 02_06_18 _-p_gw.wav,"I want to order the surf and turf, but could you please add a side of shredded hash on the side? Thank you.","I want to order the Surf 'n Turf, but could you please add a side of shredded hash on the side? Thank you.","{""items"": [{""name"": ""Surf 'n Turf"", ""modifier"": """"}, {""name"": ""shredded hash"", ""modifier"": ""side""}], ""review"": ""I want to order the Surf 'n Turf, but could you please add a side of shredded hash on the side? Thank you.""}"
19,2024_07_30 02_06_44 JTLb6A.wav,I will have a hot dog served with an ice-cold refreshing iced tea and for my second dish I would like some cheese curds without any sauce,"""I will have a hot dog served with an ice-cold refreshing iced tea, and for my second dish, I would like some cheese curds without any sauce.""","{""items"": [{""name"": ""hot dog"", ""modifier"": ""served with an ice-cold refreshing""}, {""name"": ""iced tea"", ""modifier"": """"}, {""name"": ""cheese curds"", ""modifier"": ""without any sauce""}], ""review"": ""\""I will have a hot dog served with an ice-cold refreshing iced tea, and for my second dish, I would like some cheese curds without any sauce.\""""}"
20,2024_07_30 02_07_34 97bDUw.wav,May I please have the Super Nachos topped with Succulent and Spicy Pasteur-style Chicken? Thank you.,May I please have the super nachos topped with succulent and spicy pastor-style chicken? Thank you!,"{""items"": [{""name"": ""super nachos"", ""modifier"": ""topped with succulent and spicy pastor-style chicken""}], ""review"": ""May I please have the super nachos topped with succulent and spicy pastor-style chicken? Thank you!""}"
21,2024_07_30 02_07_48 gdSsfw.wav,Can I have a grilled steak on top of the tostada please?,"Can I have a grilled steak on top of the tostada, please?","{""items"": [{""name"": ""grilled steak"", ""modifier"": """"}, {""name"": ""tostada"", ""modifier"": ""on top""}], ""review"": ""Can I have a grilled steak on top of the tostada, please?""}"
22,2024_07_30 02_08_10 7KJwsA.wav,I want to order a California burger with Korean style fries and another one wrapped in lettuce for a lighter option.,"""I want to order a California burger with Korean-style fries and another one wrapped in lettuce for a lighter option.""","{""items"": [{""name"": ""California burger"", ""modifier"": """"}, {""name"": ""Korean-style fries"", ""modifier"": """"}, {""name"": ""wrapped in lettuce"", ""modifier"": ""lighter option""}], ""review"": ""\""I want to order a California burger with Korean-style fries and another one wrapped in lettuce for a lighter option.\""""}"
23,2024_07_30 02_08_53 HZaEFw.wav,"Do you have a whole wheat seeded bagel with sliced turkey? And for the side, could I get some of your black cherry barbecue tri-tip per ounce? Thank you.","Do you have a whole wheat seeded bagel with sliced turkey, and for the side, could I get some of your black cherry BBQ tri-tip per ounce? Thank you!","{""items"": [{""name"": ""whole wheat seeded bagel"", ""modifier"": """"}, {""name"": ""sliced turkey"", ""modifier"": """"}, {""name"": ""black cherry BBQ tri-tip"", ""modifier"": ""per ounce""}], ""review"": ""Do you have a whole wheat seeded bagel with sliced turkey, and for the side, could I get some of your black cherry BBQ tri-tip per ounce? Thank you!""}"
24,2024_07_30 02_09_11 8u8wqg.wav,May I please have a shrimp tempura hand roll and also could you add the green monster roll to my order? Thank you,"May I please have a Shrimp Tempura Hand Roll and also, could you add the Green Monster Roll to my order? Thank you.","{""items"": [{""name"": ""Shrimp Tempura Hand Roll"", ""modifier"": """"}, {""name"": ""Green Monster Roll"", ""modifier"": """"}], ""review"": ""May I please have a Shrimp Tempura Hand Roll and also, could you add the Green Monster Roll to my order? Thank you.""}"
25,2024_07_30 02_09_24 8xBc0A.wav,I would appreciate a Coke Classic and a Fanta Orange to accompany my meal please.,"I would appreciate a Coke Classic and a Fanta Orange to accompany my meal, please.","{""items"": [{""name"": ""Coke Classic"", ""modifier"": """"}, {""name"": ""Fanta Orange"", ""modifier"": """"}], ""review"": ""I would appreciate a Coke Classic and a Fanta Orange to accompany my meal, please.""}"
26,2024_07_30 02_09_44 -ZuUgA.wav,May I get a Veggie Scramble served with Grilled Homestyle Potatoes please.,"May I get a Veggie Scramble served with Grilled Homestyle Potatoes, please?","{""items"": [{""name"": ""Veggie Scramble"", ""modifier"": """"}, {""name"": ""Grilled Homestyle Potatoes"", ""modifier"": """"}], ""review"": ""May I get a Veggie Scramble served with Grilled Homestyle Potatoes, please?""}"
27,2024_07_30 02_09_59 fjT--Q.wav,"I need a veggie scramble served with both rice and beans, as well as an option to have it wrapped in corn tortillas. Thank you.","I need a veggie scramble served with both rice and beans, as well as an option to have it wrapped in corn tortillas. Thank you!","{""items"": [{""name"": ""veggie scramble"", ""modifier"": """"}, {""name"": ""rice and beans"", ""modifier"": """"}, {""name"": ""corn tortillas"", ""modifier"": ""wrapped""}], ""review"": ""I need a veggie scramble served with both rice and beans, as well as an option to have it wrapped in corn tortillas. Thank you!""}"
28,2024_07_30 02_10_18 aHJA4Q.wav,Could I get a plate of ham and eggs prepared over easy and also could you please prepare another one without the eggs for me? Thank you,"Could I get a plate of ham and eggs, prepared over-easy? And also, could you please prepare another one without the eggs for me? Thank you.","{""items"": [{""name"": ""ham"", ""modifier"": """"}, {""name"": ""eggs"", ""modifier"": ""over-easy""}], ""review"": ""Could I get a plate of ham and eggs, prepared over-easy? And also, could you please prepare another one without the eggs for me? Thank you.""}"
29,2024_07_30 02_11_38 l4HClA.wav,Could I get a sandwich made with sliced gluten-free pastrami on rye bread?,"Could I get a sandwich made with sliced, gluten-free pastrami on rye bread?","{""items"": [{""name"": ""sandwich"", ""modifier"": ""made with sliced, gluten-free pastrami on rye bread""}], ""review"": ""Could I get a sandwich made with sliced, gluten-free pastrami on rye bread?""}"
30,2024_07_30 02_12_00 TWU8zA.wav,Please give me a plate of ham and eggs on whole white toast along with another one on whole wheat. Thank you.,"Please give me a plate of ham and eggs on whole white toast, along with another one on whole wheat. Thank you!","{""items"": [{""name"": ""ham and eggs"", ""modifier"": ""on whole white toast""}, {""name"": ""ham and eggs"", ""modifier"": ""on whole wheat""}], ""review"": ""Please give me a plate of ham and eggs on whole white toast, along with another one on whole wheat. Thank you!""}"
31,2024_07_30 02_12_19 7RO7ug.wav,Can you bring me a cheeseburger with fried zucchini on the side?,Can you bring me a cheeseburger with fried zucchini on the side?,"{""items"": [{""name"": ""cheeseburger"", ""modifier"": """"}, {""name"": ""fried zucchini"", ""modifier"": ""on the side""}], ""review"": ""Can you bring me a cheeseburger with fried zucchini on the side?""}"
32,2024_07_30 02_12_35 lR1QAA.wav,"Could I have a classic ham and eggs dish served with a delightful side of fresh strawberries and whipped cream, please?","Could I have a classic ham and eggs dish served with a delightful side of fresh strawberries and whipped cream, please?","{""items"": [{""name"": ""classic ham and eggs"", ""modifier"": """"}, {""name"": ""fresh strawberries"", ""modifier"": ""whipped cream""}], ""review"": ""Could I have a classic ham and eggs dish served with a delightful side of fresh strawberries and whipped cream, please?""}"
33,2024_07_30 02_12_47 Q1YHlg.wav,Can I order a tostada with fried fish on top?,Can I order a Tostada with Fried Fish on top?,"{""items"": [{""name"": ""Tostada"", ""modifier"": ""Fried Fish""}], ""review"": ""Can I order a Tostada with Fried Fish on top?""}"
34,2024_07_30 02_12_56 cVIZTA.wav,"May I get a small Hawaiian pizza, please?","May I get a small Hawaiian Pizza, please?","{""items"": [{""name"": ""Hawaiian Pizza"", ""modifier"": ""small""}], ""review"": ""May I get a small Hawaiian Pizza, please?""}"
35,2024_07_30 02_13_11 apFwmw.wav,"Can I have a veggie scramble served with whole wheat toast, please?","Can I have a veggie scramble served with whole wheat toast, please?","{""items"": [{""name"": ""veggie scramble"", ""modifier"": """"}, {""name"": ""whole wheat toast"", ""modifier"": """"}], ""review"": ""Can I have a veggie scramble served with whole wheat toast, please?""}"
36,2024_07_30 02_13_33 XgUw5A.wav,"I would like to order a plate of boneless wings, half of them in Buffalo medium sauce and the other half as standard sized boneless wings.","""I would like to order a plate of boneless wings, half of them in buffalo medium sauce and the other half as standard-sized boneless wings.""","{""items"": [{""name"": ""boneless wings"", ""modifier"": """"}, {""name"": ""buffalo medium sauce"", ""modifier"": ""half of them""}, {""name"": ""standard-sized boneless wings"", ""modifier"": ""the other half""}], ""review"": ""\""I would like to order a plate of boneless wings, half of them in buffalo medium sauce and the other half as standard-sized boneless wings.\""""}"
37,2024_07_30 02_13_50 1Ig7qw.wav,Can you bring me a veggie scramble with no side and also another one on rye toast? Thank you.,"Can you bring me a veggie scramble with no side, and also another one on rye toast? Thank you!","{""items"": [{""name"": ""veggie scramble"", ""modifier"": ""no side""}, {""name"": ""rye toast"", ""modifier"": """"}], ""review"": ""Can you bring me a veggie scramble with no side, and also another one on rye toast? Thank you!""}"
38,2024_07_30 02_14_06 3oNUpA.wav,Please give me a delicious turkey sandwich accompanied by some savory garlic fries on the side. Thank you.,Please give me a delicious turkey sandwich accompanied by some savory garlic fries on the side. Thank you!,"{""items"": [{""name"": ""turkey sandwich"", ""modifier"": """"}, {""name"": ""garlic fries"", ""modifier"": ""savory""}], ""review"": ""Please give me a delicious turkey sandwich accompanied by some savory garlic fries on the side. Thank you!""}"
39,2024_07_30 02_14_27 FeXC2g.wav,"I would love to order the surf and turf, but could you please prepare it with both shrimp and salmon? I think that combination sounds absolutely delicious. Thank you.","I would love to order the Surf 'n Turf, but could you please prepare it with both shrimp and salmon? I think that combination sounds absolutely delicious. Thank you!","{""items"": [{""name"": ""Surf 'n Turf"", ""modifier"": """"}, {""name"": ""shrimp"", ""modifier"": ""salmon""}], ""review"": ""I would love to order the Surf 'n Turf, but could you please prepare it with both shrimp and salmon? I think that combination sounds absolutely delicious. Thank you!""}"
40,2024_07_30 02_14_49 1B65Eg.wav,"Can I have a plate of ham and eggs served on top of a delicious bruschetta avocado toast, please?","Can I have a plate of ham and eggs served on top of a delicious bruschetta avocado toast, please?","{""items"": [{""name"": ""ham"", ""modifier"": """"}, {""name"": ""eggs"", ""modifier"": """"}, {""name"": ""bruschetta avocado toast"", ""modifier"": ""delicious""}], ""review"": ""Can I have a plate of ham and eggs served on top of a delicious bruschetta avocado toast, please?""}"
41,2024_07_30 02_15_24 2_H31Q.wav,"I would love to order a Nashville Hot Tender Box with the modifiers of Truffle Fries and Slaw, as well as a classic Cobb Salad dressed in balsamic vinaigrette. Thank you.","I would love to order a Nashville Hot Tender Box with the modifiers of truffle fries and slaw, as well as a Classic Cobb salad dressed in balsamic vinaigrette. Thank you!","{""items"": [{""name"": ""Nashville Hot Tender Box"", ""modifier"": """"}, {""name"": ""truffle fries"", ""modifier"": """"}, {""name"": ""slaw"", ""modifier"": """"}, {""name"": ""Classic Cobb salad"", ""modifier"": ""dressed in balsamic vinaigrette""}], ""review"": ""I would love to order a Nashville Hot Tender Box with the modifiers of truffle fries and slaw, as well as a Classic Cobb salad dressed in balsamic vinaigrette. Thank you!""}"
42,2024_07_30 02_15_45 wCR27w.wav,Can I order a pastrami sandwich on a French roll and another one on wheat bread please?,"Can I order a pastrami sandwich on a French roll and another one on wheat bread, please?","{""items"": [{""name"": ""pastrami sandwich"", ""modifier"": ""French roll""}, {""name"": ""pastrami sandwich"", ""modifier"": ""wheat bread""}], ""review"": ""Can I order a pastrami sandwich on a French roll and another one on wheat bread, please?""}"
43,2024_07_30 02_16_22 6dQkeg.wav,"I want to order the surf and turf, but instead of the usual sides, I would like it served with a generous portion of quinoa. Let's make that an 8-ounce double serving if possible.","I want to order the Surf 'n Turf, but instead of the usual sides, I would like it served with a generous portion of quinoa - let's make that an 8-ounce double serving if possible.","{""items"": [{""name"": ""Surf 'n Turf"", ""modifier"": """"}, {""name"": ""quinoa"", ""modifier"": ""8-ounce double serving""}], ""review"": ""I want to order the Surf 'n Turf, but instead of the usual sides, I would like it served with a generous portion of quinoa - let's make that an 8-ounce double serving if possible.""}"
44,2024_07_30 02_16_40 67fusA.wav,"Do you have a turkey sandwich on a soft sweet roll and another one with American cheese? I would like to order both of those, please.","Do you have a Turkey sandwich on a soft, sweet roll and another one with American cheese? I would like to order both of those, please.","{""items"": [{""name"": ""Turkey sandwich"", ""modifier"": ""soft, sweet roll""}, {""name"": ""American cheese"", ""modifier"": """"}], ""review"": ""Do you have a Turkey sandwich on a soft, sweet roll and another one with American cheese? I would like to order both of those, please.""}"
45,2024_07_30 02_16_54 _7VwjA.wav,May I get a cheeseburger with a side salad? And also could you add some crispy tater tots on the side? Thank you.,"May I get a cheeseburger with a side salad, and also could you add some crispy tater tots on the side? Thank you!","{""items"": [{""name"": ""cheeseburger"", ""modifier"": """"}, {""name"": ""side salad"", ""modifier"": """"}, {""name"": ""crispy tater tots"", ""modifier"": ""on the side""}], ""review"": ""May I get a cheeseburger with a side salad, and also could you add some crispy tater tots on the side? Thank you!""}"
46,2024_07_30 02_17_12 vtZcvg.wav,"I want to order a classic breakfast, one with fresh fruit and another one with just the white eggs.","""I want to order a classic breakfast, one with fresh fruit and another with just the white eggs.""","{""items"": [{""name"": ""classic breakfast"", ""modifier"": """"}, {""name"": ""fresh fruit"", ""modifier"": """"}, {""name"": ""white eggs"", ""modifier"": """"}], ""review"": ""\""I want to order a classic breakfast, one with fresh fruit and another with just the white eggs.\""""}"
47,2024_07_30 02_17_28 RlXSoQ.wav,I would like to try a large Chicken Supreme and Italian Soda with Mango flavor please,"""I would like to try a large Chicken Supreme and an Italian Soda with Mango flavor, please.""","{""items"": [{""name"": ""Chicken Supreme"", ""modifier"": ""large""}, {""name"": ""Italian Soda"", ""modifier"": ""Mango flavor""}], ""review"": ""\""I would like to try a large Chicken Supreme and an Italian Soda with Mango flavor, please.\""""}"
48,2024_07_30 02_19_03 PBgwOw.wav,"I would like to order a grilled salmon served on top of a Caesar Salad, and for my second dish I would love a classic cheeseburger accompanied by a salad without any dressing. Thank you.","I would like to order a grilled salmon served on top of a Caesar salad, and for my second dish, I would love a classic cheeseburger accompanied by a side salad without any dressing. Thank you!","{""items"": [{""name"": ""grilled salmon"", ""modifier"": ""served on top of a Caesar salad""}, {""name"": ""classic cheeseburger"", ""modifier"": ""accompanied by a side salad without any dressing""}], ""review"": ""I would like to order a grilled salmon served on top of a Caesar salad, and for my second dish, I would love a classic cheeseburger accompanied by a side salad without any dressing. Thank you!""}"
49,2024_07_30 02_19_18 3qcf9Q.wav,Could you please serve me a chimichanga accompanied by a side of soup? Thank you.,Could you please serve me a chimichanga accompanied by a side of soup? Thank you!,"{""items"": [{""name"": ""chimichanga"", ""modifier"": """"}, {""name"": ""soup"", ""modifier"": ""side""}], ""review"": ""Could you please serve me a chimichanga accompanied by a side of soup? Thank you!""}"
50,2024_07_30 02_19_40 i8ychg.wav,"I would love to order a plate of super nachos with a generous helping of red sauce and goat cheese, along with a refreshing chef's salad drizzled in creamy ranch dressing. Thank you.","I would love to order a plate of super nachos with a generous helping of red sauce and goat cheese, along with a refreshing chef's salad drizzled in creamy ranch dressing. Thank you!","{""items"": [{""name"": ""super nachos"", ""modifier"": ""generous helping of red sauce and goat cheese""}, {""name"": ""chef's salad"", ""modifier"": ""drizzled in creamy ranch dressing""}], ""review"": ""I would love to order a plate of super nachos with a generous helping of red sauce and goat cheese, along with a refreshing chef's salad drizzled in creamy ranch dressing. Thank you!""}"
51,2024_07_30 02_19_59 CaxyVg.wav,Please give me a delicious patty moat accompanied by some refreshing sweet tea and also add an appetizing country skillet with scrambled eggs on the side. Thank you.,"Please give me a delicious Patty Melt accompanied by some refreshing Sweet Tea, and also add an appetizing Country Skillet with Scrambled eggs on the side. Thank you!","{""items"": [{""name"": ""Patty Melt"", ""modifier"": """"}, {""name"": ""Sweet Tea"", ""modifier"": """"}, {""name"": ""Country Skillet"", ""modifier"": ""Scrambled eggs""}], ""review"": ""Please give me a delicious Patty Melt accompanied by some refreshing Sweet Tea, and also add an appetizing Country Skillet with Scrambled eggs on the side. Thank you!""}"
52,2024_07_30 02_20_09 31IB5g.wav,Can I have a regular burrito with steak as the filling?,Can I have a regular burrito with steak as the filling?,"{""items"": [{""name"": ""regular burrito"", ""modifier"": ""steak""}], ""review"": ""Can I have a regular burrito with steak as the filling?""}"
53,2024_07_30 02_20_26 9hxCsg.wav,Can I have the surf and turf served with a side of cinnamon sweet potato mash please? Four ounces would be perfect,"Can I have the Surf 'n Turf served with a side of Cinnamon Sweet Potato Mash, please? Four ounces would be perfect.","{""items"": [{""name"": ""Surf 'n Turf"", ""modifier"": """"}, {""name"": ""Cinnamon Sweet Potato Mash"", ""modifier"": ""Four ounces""}], ""review"": ""Can I have the Surf 'n Turf served with a side of Cinnamon Sweet Potato Mash, please? Four ounces would be perfect.""}"
54,2024_07_30 02_20_47 yVozfw.wav,"I would like to order a Mexican omelet served on an English muffin, as well as another one with rice and beans. Thank you.","I would like to order a Mexican Omelette served on an English Muffin, as well as another one with Rice and Beans. Thank you!","{""items"": [{""name"": ""Mexican Omelette"", ""modifier"": ""served on an English Muffin""}, {""name"": ""Rice and Beans"", ""modifier"": """"}], ""review"": ""I would like to order a Mexican Omelette served on an English Muffin, as well as another one with Rice and Beans. Thank you!""}"
55,2024_07_30 02_21_12 9s5nrQ.wav,"I would love to start off my meal with a large serving of Old Bay Fries, please. No additional modifiers needed for these perfectly seasoned and crispy potatoes.","I would love to start off my meal with a large serving of Old Bay Fries, please. No additional modifiers needed for these perfectly seasoned and crispy potatoes!","{""items"": [{""name"": ""Old Bay Fries"", ""modifier"": ""large serving""}], ""review"": ""I would love to start off my meal with a large serving of Old Bay Fries, please. No additional modifiers needed for these perfectly seasoned and crispy potatoes!""}"
56,2024_07_30 02_21_34 NAn62Q.wav,I would like a hamburger without cheese and an extra large fries on the side please.,"I would like a hamburger without cheese and an extra-large fries on the side, please.","{""items"": [{""name"": ""hamburger"", ""modifier"": ""without cheese""}, {""name"": ""extra-large fries"", ""modifier"": """"}], ""review"": ""I would like a hamburger without cheese and an extra-large fries on the side, please.""}"
57,2024_07_30 02_21_43 krStTA.wav,Could you serve me a plate of naked tots?,"""Could you serve me a plate of naked tots?""","{""items"": [{""name"": ""naked tots"", ""modifier"": """"}], ""review"": ""\""Could you serve me a plate of naked tots?\""""}"
58,2024_07_30 02_21_58 ejpBMg.wav,I want to order a buffalo chicken sandwich with a marinara dip and also please prepare it as a full meal.,"I want to order a Buffalo Chicken Sandwich with Marinara Dip, and also please prepare it as a full meal.","{""items"": [{""name"": ""Buffalo Chicken Sandwich"", ""modifier"": ""Marinara Dip""}, {""name"": ""full meal"", ""modifier"": """"}], ""review"": ""I want to order a Buffalo Chicken Sandwich with Marinara Dip, and also please prepare it as a full meal.""}"
59,2024_07_30 02_22_23 y5ZSNw.wav,"I would appreciate a plant-based nuggets meal served with 5 ounces of steamed white rice on the side, please.","""I would appreciate a Plant-Based Nuggets Meal served with 5 oz of steamed white rice on the side, please.""","{""items"": [{""name"": ""Plant-Based Nuggets"", ""modifier"": ""Meal""}, {""name"": ""steamed white rice"", ""modifier"": ""5 oz""}], ""review"": ""\""I would appreciate a Plant-Based Nuggets Meal served with 5 oz of steamed white rice on the side, please.\""""}"
60,2024_07_30 02_22_37 SW3A6w.wav,I will have a Reuben sandwich and a refreshing glass of lemonade please.,"""I will have a Reuben sandwich and a refreshing glass of lemonade, please.""","{""items"": [{""name"": ""Reuben sandwich"", ""modifier"": """"}, {""name"": ""glass of lemonade"", ""modifier"": ""refreshing""}], ""review"": ""\""I will have a Reuben sandwich and a refreshing glass of lemonade, please.\""""}"
