audio_path,ground_truth,transcription,inference_time
2024_07_09 09_28_51 Z5wUqw.wav,"I need a Tostada with Green Chile Pork and a Mixed Grill served with Fries, Chili-Lime style.","I need a Tostada with Green Chile Pork and a Mixed Grill served with Fries, Chili-Lime style.",0.39086055755615234
2024_07_09 09_40_46 Gt-v1w.wav,Could you please serve me a chimichanga with ranch dressing on one side and another chimichanga topped with steak? Thank you.,Could you please serve me a chimichanga with rank dressing on one side and another chimichanga topped with steak? Thank you.,0.6316988468170166
2024_07_09 09_45_10 1aejJQ.wav,"I would appreciate a delicious Soup and Salad Combo, specifically the Broccoli Cheddar Soup paired with a fresh garden salad. Thank you!","I would appreciate a delicious Soup and Salad Combo, specifically the Broccoli Cheddar Soup paired with a fresh garden salad. Thank you!",0.633756160736084
2024_07_09 09_46_36 YpGK3Q.wav,Can I have a hot dog on a Sub Caesar bun?,Can I have a hot dog on a Sub Caesar bun?,0.2589437961578369
2024_07_09 10_00_12 UeV5gw.wav,"I will have the boneless wings without any sauce or a dry rub, please.","I will have the boneless wings without any sauce or driva, please.",0.21378397941589355
2024_07_09 10_02_11 vWrRAg.wav,"""I would appreciate a Plant-Based Nuggets Meal served with 5 oz of steamed white rice on the side, please.""","I would appreciate a Plant-Based Nuggets Meal served with 5 oz of steamed rice on the side, please.",0.4147682189941406
2024_07_09 10_02_57 6k0MuQ.wav,"I would like some turkey sandwich without any tomatoes, please. Thank you!","I would like some turkey sandwich without any tomatoes, please. Thank you!",0.24657368659973145
2024_07_09 10_03_35 fysiOg.wav,"Could you please serve me a cheeseburger, one topped with tangy blue cheese and another featuring classic American cheese? Thank you.","Could you please serve me a cheeseburger, one topped with tangy blue cheese and another featuring classic American cheese? Thank you.",0.3742070198059082
2024_07_09 10_04_12 wrwyjA.wav,"Could you please serve me a tostada with red sauce and beef, as well as another one with red sauce and goat? Thank you!","Could you please serve me a tostada with red sauce and beef, as well as another one with red sauce and coat? Thank you.",0.4143812656402588
2024_07_09 10_21_24 qDLUzQ.wav,"May I get a Veggie Scramble served on Sourdough Bread, please?","May I get a Veggie Scramble served on sourdough bread, please?",0.4430415630340576
2024_07_09 10_21_42 1_UQ8A.wav,"I would like to try the Quesadilla Suiza, but please could you serve it without any salsa? Thank you.","I would like to try the Quesadilla Suiza, but please could you serve it without any salsa? Thank you.",0.5817418098449707
2024_07_09 10_22_10 MI0RTw.wav,Can I order a mini breakfast with white toast on the side?,Can I order a mini breakfast with white toast on the side?,0.27387118339538574
2024_07_09 10_22_40 pyVIwA.wav,"Can you bring me a plate of chips served with our house-made guacamole and salsa, please?","Could you bring me a plate of chips served with our house made guacamole and salsa, please?",0.3090090751647949
2024_07_09 10_23_39 6553CA.wav,"I need a hamburger with yellow mustard and a hot dog that's not split open, please.","I need a hamburger with yellow mustard and a hot dog, let's not split open, please.",0.3609180450439453
2024_07_09 10_24_32 TfHqVA.wav,"I'm sorry for any confusion, but it seems there might be a mix-up in the items and modifiers you provided. Pastrami is typically a type of cured meat often served on rye bread or as part of sandwiches, while chocolate chips are usually associated with desserts like cookies or brownies. Could I assist you by suggesting a pastrami sandwich instead? If so, would you prefer it toasted or untoasted and what type of bread do you fancy – rye, whole wheat, or something else?","I'm sorry for any confusion, but it seems there might be a mix-up in the items and modifiers you provided. Pastrami is typically a type of cured meat often served with rye bread or as part of sandwiches, while chocolate chips are usually associated with desserts like cookies or brownies. Could I assist you by suggesting a pastrami sandwich instead? If so, would you prefer it toasted or untoasted and what type of bread do you fancy – rye, whole wheat, or something else?",1.1323435306549072
2024_07_09 10_25_49 l-F5qQ.wav,"Could you please serve me a Swai Meal with half a serving of Red Potato Mash, and also the Surf 'n Turf accompanied by another half serving of Red Potato Mash? Thank you.","Could you serve me a Swai Meal with half a serving of Red Potato Mash, and also the Surf & Turf accompanied by another half serving of Red Potato Mash? Thank you.",0.4290740489959717
2024_07_09 10_31_47 X_0Dbg.wav,"I want to order a plate of spicy chicken wings, one with BBQ sauce and another with a tangy pineapple glaze.","I want to order a plate of spicy chicken wings, one with BBQ sauce and another with a tangy pineapple glaze.",0.29404211044311523
2024_07_09 13_00_27 YGzLRw.wav,"Do you have a Fanta Orange Soda? I would like to order two liters of it, please. Thank you!","Do you have a Fanta Orange Soda? I would like to order two liters of it, please. Thank you!",0.3406083583831787
2024_07_09 18_51_06 Nv49Zw.wav,"Please give me a serving of inari sushi and some wakame salad, both without any additional modifiers. Thank you!","Please give me a serving of inori sushi and some wakame salad, both without any additional modifiers. Thank you!",0.3576681613922119
2024_07_09 18_51_55 NWrxvg.wav,"Could I have a California sandwich on sliced multigrain bread, and also a small house salad to accompany it?","Can I have a California sandwich on sliced multigrain bread, and also a small house salad to accompany it?",0.29900240898132324
2024_07_09 18_52_34 CxGKDw.wav,"Can you bring me a medium Combo Special with garlic-ranch sauce, and also add on a cheeseburger topped with pepperjack cheese?","Can you bring me a medium combo special with garlic ranch sauce, and also add on a cheeseburger topped with pepperjack cheese?",0.3124401569366455
2024_07_09 18_52_59 vjylUg.wav,"May I get a plate of tacos topped with fresh, zesty pico de gallo?","May I get a plate of tacos topped with fresh, zesty pico de gallo?",0.2517242431640625
2024_07_09 18_53_55 79ej3Q.wav,"I need a B.L.T. sandwich paired with a freshly brewed cup of coffee, and on the side, could I also get some garlic-seasoned sliced turkey? Thank you!","I need a BLT sandwich paired with a freshly brewed cup of coffee, and on the side, could I also get some garlic seized in sliced turkey? Thank you.",0.4383883476257324
2024_07_09 18_55_06 s_PLgQ.wav,"I will take two November Specials, one on a bed of crisp white sliced bread and the other on hearty wheat sliced bread.","I will take two November Specials, one on a bed of crisp white sliced bread and the other on hearty wheat sliced bread.",0.32917332649230957
2024_07_09 18_58_47 FJMSqQ.wav,May I order a refreshing Sprite and a tangy Squirt to accompany my meal?,May I order a refreshing Sprite and a tangy Squirt to accompany my meal?,0.23635220527648926
2024_07_09 19_00_43 AvdPqA.wav,"I need a Starry Burger with a 20-ounce patty, please.","I need a Starry Burger with a 20-ounce patty, please.",0.23681235313415527
2024_07_25 12_58_11 UqgYkg.wav,Can you bring me a cheeseburger with fried zucchini on the side?,Can you bring me a cheeseburger with fried zucchini on the side?,0.2271575927734375
2024_07_25 13_01_12 H1oKGQ.wav,"I would appreciate a fresh and delicious Salmon Hand Roll, please. Could you also add some wasabi on the side for an extra kick? Thank you!","I would appreciate a fresh and delicious Salmon Hand Roll, please. Could you also add some wasabi on the side for an extra kick? Thank you!",0.3794593811035156
2024_07_10 09_56_26 nGd0tQ.wav,"I would appreciate a plate of spicy hotate nigiri, please, and could you add some freshly grated wasabi on top? Thank you.","I would appreciate a plate of spicy hot potatoes, please, and could you add some freshly grated wasabi on top? Thank you.",0.32741618156433105
2024_07_10 12_19_17 FSCp3w.wav,"Can you bring me a plain tri-tip, please? And for the November Special, could I have it with wheat rolls? Thank you!","Can you bring me plain tartar, please? And for the Nampa special, could I have it with wheat roll? Thank you.",0.3422856330871582
2024_07_11 00_04_05 GudBDw.wav,"Please give me a plate of ham and eggs on whole white toast, along with another one on whole wheat. Thank you!","Please give me a plate of ham and eggs on whole white toast, along with another one on whole wheat. Thank you!",0.33403778076171875
2024_07_11 00_09_58 MoS-iA.wav,Can you bring me a mixed grill seasoned with Thai spices and accompanied by Brussels sprouts on the side?,Can you bring me a mixed grill seasoned with Thai spices and accompanied by Brussels sprouts on the side?,0.26648616790771484
2024_07_11 00_17_17 EuE5pQ.wav,"I would like to order some spicy chicken wings, and could you please add a side of fresh spinach as well? Thank you.","I would like to order some spicy chicken wings, and could you please add a side of fresh spinach as well? Thank you.",0.3116307258605957
2024_07_11 00_17_44 1eSjAw.wav,Could you please serve me a house salad with balsamic vinaigrette dressing on the side? Thank you.,Could you please serve me a house salad with a balsamic vinegar dressing on the side? Thank you!,0.2833852767944336
2024_07_11 00_23_04 GQigIg.wav,"Could I get a delicious chicken chimichanga? And if possible, could you add some extra cheese on top for me, please?","Could I get a delicious chicken chimichanga? And if possible, could you add some extra cheese on top for me, please?",0.39754271507263184
2024_07_11 00_32_58 5uRkzQ.wav,"""I will have a hot dog served with an ice-cold refreshing iced tea, and for my second dish, I would like some cheese curds without any sauce.""","I will have a hot dog served with an ice-cold refreshing iced tea, and for my second dish, I would like some cheese curds without any sauce.",0.39141392707824707
2024_07_12 03_22_51 spIQcQ.wav,"""I would appreciate a classic breakfast with the modification of having my eggs prepared as whites only, please.""","I would appreciate a classic breakfast with the modification of having my eggs prepared as whites only, please.",0.2536919116973877
2024_07_12 03_25_24 9AXS6A.wav,"""I want to order a classic breakfast, one with fresh fruit and another with just the white eggs.""","I would like to order a classic breakfast, one with fresh fruit and another with just the white eggs.",0.26962780952453613
2024_07_12 03_31_50 wmdizw.wav,"""I would love to start off with a small bowl of clam chowder, and for my main course, I would like an order of boneless wings prepared naked.""","I would love to start off with a small bowl of clam chowder, and for my main course, I would like an order of boneless wings prepared naked.",0.38773417472839355
2024_07_12 03_36_48 P_F2dg.wav,"I will have the ham and eggs on rye toast, please, along with a side of hash browns. And for my second order, could I also get another serving of ham and eggs but prepared over medium? Thank you!","I will have the ham and eggs on rye toast, please, along with a side of hash browns. And for my second order, could I also get another serving of ham and eggs but prepared over medium? Thank you!",0.5207140445709229
2024_07_12 03_37_08 tLbT2g.wav,I would like to order a turkey sandwich with cucumber and another one with potato salad on the side.,I would like to order a turkey sandwich with cucumber and another one with potato salad on the side.,0.2620508670806885
2024_07_24 13_10_54 rd9xGQ.wav,"I would like to try a medium-sized Chicken Caesar Salad with the classic Caesar dressing, please.","I would like to fry a medium-sized Chicken Caesar Salad with the classic Caesar dressing, please.",0.2984757423400879
2024_07_15 16_16_57 zkfB0A.wav,"Can you bring me a hamburger with all the standard toppings, please?","Can you bring me a hamburger with all the standard toppings, please?",0.25249195098876953
2024_07_15 16_21_09 IbmVzQ.wav,"I would like a hamburger without cheese and an extra-large fries on the side, please.","I would like a hamburger without cheese and an extra-large fries on the side, please.",0.2539799213409424
2024_07_15 18_13_42 34O1Iw.wav,"May I get a Patty Melt cooked to medium rare, please?","May I get a Patty Melt cooked to medium rare, please?",0.1910839080810547
2024_07_15 18_14_08 QT5B3Q.wav,"Could I have a house salad with oil and vinegar dressing, please?","Could I have a house salad with oil and vinegar dressing, please?",0.21004796028137207
2024_07_15 19_43_19 24Dxew.wav,"May I order a half portion of the Tandoori Chicken prepared in a milder spice blend, please?","May I order a half portion of tandoori chicken prepared in a milder spice blend, please?",0.2631974220275879
2024_07_15 19_54_13 v7bceQ.wav,"I would like to order a grilled salmon served on top of a Caesar salad, and for my second dish, I would love a classic cheeseburger accompanied by a side salad without any dressing. Thank you!","I would like to order a grilled salmon served on top of a Caesar salad, and for my second dish, I would love a classic cheeseburger accompanied by a side salad without any dressing. Thank you!",0.46412229537963867
2024_07_18 09_40_44 prkanA.wav,"I want to order the Surf 'n Turf, but could you please add a side of shredded hash on the side? Thank you.","I want to order the Surf'n Turf, but could you please add a side of shredded hash on the side? Thank you.",0.35585808753967285
2024_07_13 20_43_38 hOrdPw.wav,"May I get a small Hawaiian Pizza, please?","May I get a small Hawaiian Pizza, please?",0.16448688507080078
2024_07_30 02_00_52 Mr-7kg.wav,"Do you have a Turkey sandwich on a soft, sweet roll and another one with American cheese? I would like to order both of those, please.","Do you have a turkey sandwich on a soft, sweet roll and another one with American cheese? I would like to order both of those, please.",0.3917813301086426
2024_07_30 02_03_50 itWUcQ.wav,"Can I have a veggie scramble served with whole wheat toast, please?","Can I have a veggie scramble served with whole wheat toast, please?",0.24254226684570312
2024_07_30 02_15_24 2_H31Q.wav,"I would love to order a Nashville Hot Tender Box with the modifiers of truffle fries and slaw, as well as a Classic Cobb salad dressed in balsamic vinaigrette. Thank you!","I would love to order a Nashville Hot Tender Box with the modifiers of truffle fries and slaw, as well as a classic Cobb salad dressed in balsamic vinaigrette. Thank you!",0.5084967613220215
